"Código","Nombre","Régimen","Dirección","Localidad","Teléfono","Fax","Latitud","Longitud","Titularidad","CIF","Comarca","Email","Web","Servicios complementarios"
"Código: 46019155","CENTRO PÚBLICO DE FORMACIÓN DE PERSONAS ADULTAS JAIME I","Régimen: PÚBLICO","Calle SOLANO, 1","46140 - ADEMUZ","978 78 70 00   ","978 78 70 01","40,060148","-1,285779","GENERALITAT VALENCIANA","CIF: Q9655229D","EL RINCÓN DE ADEMÚZ","46019155@edu.gva.es","http://mestreacasa.gva.es/web/4601915500","Biblioteca; Laboratorio/Taller; Inglés; FONDOS SOCIALES EUROPEOS"
"Código: 46026329","COLEGIO RURAL AGRUPADO RINCÓN DE ADEMUZ","Régimen: PÚBLICO","Avenida DE VALENCIA, 47-C","46140 - ADEMUZ","978 78 70 10   ","978 78 70 11","40,059618","-1,285469","GENERALITAT VALENCIANA","ÁMBITO: ","EL RINCÓN DE ADEMÚZ","46026329@edu.gva.es","http://mestreacasa.gva.es/web/4602632900","Transporte; Comedor; Aula Informática; Biblioteca; Aula música; I. Deportivas; Inglés; Adscrito al programa de banco de libros"
"Código: 46029434","ESCUELA PRIVADA DE MÚSICA DE ADEMUZ","Régimen: PRIVADO","Avenida DE VALENCIA, 39","EL RINCÓN DE ADEMÚZ","630 24 83 29   ","lauren60@gmail.com","","","","","","46140 - ADEMUZ","","Aula música"
"Código: 46020248","INSTITUTO DE EDUCACIÓN SECUNDARIA ","Régimen: PÚBLICO","Avenida DE VALENCIA, 47","46140 - ADEMUZ","978 78 70 05   ","978 78 70 06","40,059896","-1,285284","GENERALITAT VALENCIANA","CIF: Q9655231J","EL RINCÓN DE ADEMÚZ","46020248@edu.gva.es","http://mestreacasa.gva.es/web/4602024800","Transporte; Comedor; Cafetería/Bar; Aula Informática; Biblioteca; Laboratorio/Taller; Aula música; Gimnasio; I. Deportivas; Francés; Inglés; Adscrito al programa de banco de libros"
"Código: 46030266","ESCOLA INFANTIL DE PRIMER CICLE MUNICIPAL L'ESCOLETA","Régimen: PÚBLICO","Calle SANTÍSIMO CRISTO, 6","46724 - ADOR","962 80 80 51   ","962 80 81 59","38,91987","-0,225291","AJUNTAMENT D'ADOR","","LA SAFOR","esmiru_1980@yahoo.es","","Comedor; Inglés; Valenciano"
"Código: 46020561","ESCOLA PRIVADA DE MÚSICA ","Régimen: PRIVADO","Calle GOYA, 1","46724 - ADOR","962 80 88 75   ","962 80 81 55","38,918702","-0,223562","AGRUPACIÓ MUSICAL SANTA CECILIA","","LA SAFOR","bandaador@amsca.es","mailto:bandaador@amsca.es","Salón actos; Aula música"
"Código: 46018953","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA LA MURTERA","Régimen: PÚBLICO","Calle JOSÉ ESCRIVÁ, S/N","46724 - ADOR - PALMA DE GANDIA","962 82 66 30   ","962 82 66 31","38,922274","-0,223911","GENERALITAT VALENCIANA","CIF: Q9655232H","LA SAFOR","46018953@edu.gva.es","http://mestreacasa.gva.es/web/4601895300","Comedor; Aula Informática; Biblioteca; Laboratorio/Taller; Aula música; I. Deportivas; Francés; Inglés; Adscrito al programa de banco de libros"
"Código: 03000047","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA LA RAMBLA","Régimen: PÚBLICO","Avenida DE ALCOY, S/N","03698 - AGOST","966 90 81 35   ","966 90 81 36","38,438389","-0,635608","GENERALITAT VALENCIANA","CIF: Q5355128I","L'ALACANTÍ","03000047@edu.gva.es","mailto:03000047@edu.gva.es","Comedor; Biblioteca; Laboratorio/Taller; Aula música; I. Deportivas; Inglés; Adscrito al programa de banco de libros"
"Código: 03016912","CENTRE DOCENT PÚBLIC DE FORMACIÓ BÀSICA DE PERSONES ADULTES MUNICIPAL D'AGOST","Régimen: PÚBLICO","Avenida DE XIXONA, 2","03698 - AGOST","965 69 17 40   ","965 69 20 21","38,436258","-0,637955","AJUNTAMENT D'AGOST","","L'ALACANTÍ","fpa@agost.es","",""
"Código: 03000060","CENTRE PRIVAT D'EDUCACIÓ INFANTIL I PRIMÀRIA LA MILAGROSA","Régimen: PRIVADO  -  CONCERTADO","Calle JUAN XXIII, 2","L'ALACANTÍ","965 69 11 43   ","cdlamilagrosa@colegiolamilagrosa.es","","","","","","03698 - AGOST","mailto:cdlamilagrosa@colegiolamilagrosa.es","Comedor; Inglés; Castellano; Valenciano; Adscrito al programa de banco de libros"
